timestamp,temperature,humidity,latitude,longitude,speed_kmph,altitude,satellites,heading,current,battery_voltage,battery_percent
1789009639.6709862,30.0,52.0,1.458844,102.149811,0.43,4.1,7,262.0,-0.85,4.14,0.0
1789009640.6830525,30.0,52.0,1.458844,102.149811,1.67,4.5,7,234.9,-0.77,4.14,0.0
1789009641.6760335,30.0,52.0,1.458844,102.149811,1.09,4.7,7,227.9,-0.38,4.17,0.0
1789009642.6730416,30.0,52.0,1.458858,102.14981,0.17,4.7,7,232.2,-0.47,4.17,0.0
1789009643.7055771,30.0,52.0,1.458858,102.14981,0.41,4.6,7,232.4,-0.45,4.17,0.0
1789009644.6883671,30.0,52.0,1.458858,102.14981,0.22,4.7,7,232.3,-0.42,4.17,0.0
1789009645.681401,30.0,52.0,1.458875,102.149811,0.19,5.0,7,232.3,-0.41,4.17,0.0
1789009646.6948118,30.0,52.0,1.458875,102.149811,0.44,4.9,7,232.3,-0.39,4.17,0.0
1789009647.6877913,30.0,52.0,1.458875,102.149811,0.31,5.2,7,232.3,-0.39,4.17,0.0
1789009648.7226918,30.0,52.0,1.458875,102.149811,0.13,5.3,7,232.3,-0.47,4.16,0.0
1789009649.6968558,30.0,52.0,1.458875,102.149811,0.06,5.6,7,232.3,-0.41,4.17,0.0
1789009650.691001,30.0,52.0,1.458864,102.149815,0.2,5.9,7,232.3,-0.4,4.17,0.0
1789009651.7033982,30.0,52.0,1.458864,102.149815,0.2,6.1,7,232.3,-0.41,4.17,0.0
1789009652.69608,30.0,52.0,1.458864,102.149815,0.2,6.2,7,232.3,-0.43,4.17,0.0
1789009653.7342792,30.0,52.0,1.458864,102.149815,0.28,6.2,7,232.3,-0.36,4.17,0.0
1789009654.7068508,30.0,52.0,1.458852,102.149818,0.3,6.1,7,232.3,-0.36,4.18,0.0
1789009655.7017422,30.0,52.0,1.458852,102.149818,0.24,6.1,7,232.3,-0.35,4.18,0.0
1789009656.7163548,30.0,52.0,1.458852,102.149818,0.11,6.2,7,232.3,-0.32,4.18,0.0
1789009657.7085187,30.0,52.0,1.458852,102.149818,0.09,6.3,7,232.3,-0.31,4.18,0.0
1789009658.7415273,30.0,52.0,1.458838,102.14982,0.2,6.2,7,232.3,-0.33,4.18,0.0
1789009659.713508,30.0,52.0,1.458838,102.14982,0.37,6.2,7,232.3,-0.29,4.18,0.0
1789009660.7111278,30.0,52.0,1.458838,102.14982,0.41,6.1,7,232.3,-0.43,4.17,0.0
1789009661.723655,30.0,52.0,1.458823,102.149824,0.43,6.0,7,232.3,-0.25,4.18,0.0
1789009662.7196772,30.0,52.0,1.458823,102.149824,0.48,5.8,7,232.3,-0.3,4.18,0.0
1789009663.7371845,30.0,52.0,1.458823,102.149824,0.67,5.8,7,232.3,-0.31,4.18,0.0
1789009664.7200491,30.0,52.0,1.458811,102.149827,0.87,5.6,7,232.3,-0.3,4.18,0.0
1789009665.7137814,30.0,52.0,1.458811,102.149827,0.94,5.6,7,232.3,-0.28,4.18,0.0
1789009666.7295625,30.0,52.0,1.458811,102.149827,1.04,5.3,6,232.3,-0.24,4.18,0.0
1789009667.7245655,30.0,52.0,1.458798,102.14983,0.41,5.0,6,232.3,-0.24,4.18,0.0
1789009668.75809,30.0,52.0,1.458798,102.14983,0.07,4.6,6,232.3,-0.28,4.18,0.0
1789009669.729161,30.0,52.0,1.458798,102.14983,0.06,4.3,6,232.3,-0.3,4.18,0.0
1789009670.74488,30.0,52.0,1.458784,102.149834,0.17,4.0,6,232.3,-0.29,4.18,0.0
